INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 3, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
